TCC;Trait;BAG;GW/CH;CH;GW/MLST;CC
RootYield;IC;0.750941384004174;0.911593572186638;0.906588885330287;0.935315236676898;0.915328965334701
RootYield;PTR;0.76626476743584;0.954087015243193;0.944997637174155;0.959806000524897;0.945256829747303
RootYield;NRz;0.541497619624127;0.756794997494814;0.765385487455797;0.783542123961933;0.768770739229676
RootYield;DRY;0.761079220481;0.935473029111304;0.9337069940406;0.958550077844761;0.930634986744828
RootYield;DMCsg;0.654690659805629;0.837996675959699;0.846583400587834;0.840427025596573;0.854818505454063
RootYield;PPA;0.762430723211668;0.942675639098446;0.948598048271951;0.944663457990635;0.947920365299888
RootYield;PA;0.780353756824352;0.92598423834565;0.933579948218962;0.911102940700532;0.9405426740852
RootYield;PRz;0.581848651952777;0.806619632861933;0.814421712069655;0.783636776598226;0.822085542916514
Diseases;Anth;0.608115443419474;0.832842617093289;0.835428989958879;0.872454214554958;0.835046249933312
Diseases;BlLS;0.625551424254024;0.791696512076295;0.80187331074932;0.835487759258581;0.786931065330804
Diseases;BrLS;0.63666348286983;0.801240591037834;0.806793977513067;0.835470619223215;0.810627283419378
Diseases;WhLS;0.458083880201365;0.686038733636224;0.687532315073625;0.687597525449704;0.705983024041189
Diseases;Vigor45D;0.579520046832367;0.742681996511765;0.781386107234043;0.805212632286025;0.776313476809387
Diseases;FrogSkin;0.242293880754627;0.444899954346424;0.424551314318262;0.411607265382028;0.436828314637077
Diseases;Pod;0.111352456452838;0.364471486050725;0.318960168359987;0.306021589624696;0.329296701961681
Diseases;FerSev;0.1104446303922;0.344361645217832;0.32669893911941;0.303715813928229;0.338087851019701
Diseases;MosCm;0.128978463078294;0.487188088247467;0.414373952812054;0.357021124412124;0.466435382645335
Diseases;MosNv;0.253048618226894;0.572687934262831;0.585840707874132;0.570760629211312;0.603144583589237
Diseases;RF;0.667654072790579;0.812680647557492;0.840009848421836;0.84405695594304;0.830135611372968
Diseases;AcSev;0.748150075369419;0.859778438202863;0.872290282113786;0.872182584692888;0.875972720634768
QualityRoot;HCN;0.923078403928138;0.945972377695953;0.943231618952848;0.930835351424156;0.936664274534234
QualityRoot;DMCsg;0.741333766956568;0.940383589735619;0.941418442411635;0.940751534897877;0.952547258551959
QualityRoot;TCC;0.243766406660406;0.69067093069131;0.679662294130979;0.640803340868655;0.746913279885483
QualityRoot;CorPol;0.436196987307476;0.710059418662747;0.71240619997193;0.703888860114662;0.714818818369551
